,nazev,hodnota
0,Benešov,4628
1,Beroun,4485
2,Kladno,7941
3,Kolín,4882
4,Kutná Hora,3332
5,Mělník,5300
6,Mladá Boleslav,5846
7,Nymburk,5138
8,Praha-východ,10182
9,Praha-západ,8582
10,Příbram,5518
11,Rakovník,2520
12,České Budějovice,8985
13,Český Krumlov,3011
14,Jindřichův Hradec,4236
15,Písek,3267
16,Prachatice,2454
17,Strakonice,3350
18,Tábor,4779
19,Domažlice,2736
20,Klatovy,4133
21,Plzeň-město,8017
22,Plzeň-jih,3144
23,Plzeň-sever,3847
24,Rokycany,2160
25,Tachov,2439
26,Cheb,4405
27,Karlovy Vary,5007
28,Sokolov,4096
29,Děčín,6669
30,Chomutov,6090
31,Litoměřice,5774
32,Louny,4223
33,Most,5331
34,Teplice,6303
35,Ústí nad Labem,6052
36,Česká Lípa,4949
37,Jablonec nad Nisou,4223
38,Liberec,8231
39,Semily,3382
40,Hradec Králové,7316
41,Jičín,3665
42,Náchod,5317
43,Rychnov nad Kněžnou,3791
44,Trutnov,5545
45,Chrudim,4980
46,Pardubice,7545
47,Svitavy,5071
48,Ústí nad Orlicí,6799
49,Havlíčkův Brod,4370
50,Jihlava,5309
51,Pelhřimov,3397
52,Třebíč,5226
53,Žďár nad Sázavou,5806
54,Blansko,4901
55,Brno-město,16006
56,Brno-venkov,10755
57,Břeclav,5104
58,Hodonín,6838
59,Vyškov,4174
60,Znojmo,5467
61,Jeseník,1751
62,Olomouc,10841
63,Prostějov,5136
64,Přerov,5946
65,Šumperk,5524
66,Kroměříž,4819
67,Uherské Hradiště,6465
68,Vsetín,6599
69,Zlín,8784
70,Bruntál,4335
71,Frýdek-Místek,10124
72,Karviná,11065
73,Nový Jičín,7231
74,Opava,8492
75,Ostrava-město,14829
76,,968
77,,6875
78,,1721
79,,2561
80,,11062
81,,7556
82,,5855
83,,1515
84,,4514
85,,8239
